direction,n,win,avg,avg_w,avg_l,pf,hold_days,max_w,max_l,total,expectancy,share_n_pct
short,4571,40.74,463.69,6905.03,-3963.70,1.20,12.17,27041.73,-67112.57,2119520.99,463.69,48.62
long,4831,41.01,344.96,6008.08,-3591.41,1.16,11.95,29108.59,-22271.80,1666492.50,344.96,51.38
