year,pnl_40,pnl_25,delta_new
2017,-57150,5118,-62268
2018,-298198,-208869,-89329
2019,134171,86294,47877
2020,802457,373958,428498
2021,153493,224151,-70659
2022,1026086,798280,227806
2023,451491,366863,84628
2024,193101,107980,85121
2025,482496,34065,448431
2026,898066,416806,481260
