variant,n,win,avg,avg_w,avg_l,pf,hold_days,max_w,max_l,total,expectancy,total_pct,OOS_total_M
40_names_L+S_lev1,9402,40.87,402.68,6442.67,-3772.83,1.18,12.06,29108.59,-67112.57,3786013.49,402.68,94.65,3.79
25_names_L+S_lev1,6012,40.67,366.71,6216.68,-3643.16,1.17,11.90,27041.73,-67112.57,2204647.39,366.71,,
